Author,Laser_Power_W,Scan_Speed_mm_s,Hatch_Distance_mm,Layer_Thickness_mm,Hardness_HV
Maamoun,370,1000,0.19,0.03,116
Maamoun,370,1300,0.15,0.03,117
Maamoun,370,1300,0.19,0.03,115.6
Maamoun,350,1300,0.19,0.03,115.4
Maamoun,370,1500,0.19,0.03,114.6
Maamoun,300,1300,0.19,0.03,115.2
Maamoun,370,1300,0.25,0.03,118.4
Maamoun,200,1300,0.19,0.03,118.6
Poncelet,274,200,0.1,0.03,108.4
Poncelet,246,200,0.1,0.03,110.2
Poncelet,219,200,0.1,0.03,112.0
Poncelet,205,200,0.1,0.03,115.0
Poncelet,164,200,0.1,0.03,116.2
Poncelet,137,200,0.1,0.03,119.3
Poncelet,109,200,0.1,0.03,127.9
Poncelet,273,200,0.1,0.03,108.5
Poncelet,273,300,0.1,0.03,114.2
Poncelet,273,400,0.1,0.03,115.1
Poncelet,273,500,0.1,0.03,120.2
Poncelet,273,800,0.1,0.03,128.8
Poncelet,273,1000,0.1,0.03,132.2
Poncelet,273,1200,0.1,0.03,125.7
Poncelet,273,1500,0.1,0.03,128.3
Yusuf,400,1600,0.2,0.02,145
Yusuf,400,1600,0.2,0.02,136
Tridello,350,1150,0.17,0.05,132
Tridello,350,1150,0.17,0.05,146
Mfusi,150,1000,0.05,0.05,128
Mfusi,150,1000,0.05,0.05,127
Mfusi,150,1000,0.05,0.05,126
